RICO_scannet_1_2024_04_24_22_01_38 [107] (41/465): loss = 0.10402241349220276, rgb_loss = 0.0677664577960968, eikonal_loss = 0.04552995041012764, bg_render_loss = 0.0, lop_loss = 1.7984730149578354e-08, lrd_loss = 0.0, semantic_loss = 0.0019316539401188493, smooth_loss = 0.0, depth_loss = 0.06142169609665871, normal_l1 = 0.4558727741241455, normal_cos = 0.0993279218673706, psnr = 19.93166160583496
RICO_scannet_1_2024_04_24_22_01_38 [107] (42/465): loss = 0.035141073167324066, rgb_loss = 0.02266586385667324, eikonal_loss = 0.039433225989341736, bg_render_loss = 0.0, lop_loss = 7.03872231611058e-08, lrd_loss = 0.0, semantic_loss = 0.0029357471503317356, smooth_loss = 0.0, depth_loss = 0.016442352905869484, normal_l1 = 0.15930847823619843, normal_cos = 0.015529000200331211, psnr = 28.302783966064453
RICO_scannet_1_2024_04_24_22_01_38 [107] (43/465): loss = 0.06049169972538948, rgb_loss = 0.03239356726408005, eikonal_loss = 0.030341139063239098, bg_render_loss = 0.0, lop_loss = 2.7855212465510704e-05, lrd_loss = 0.00010968605056405067, semantic_loss = 0.1050894483923912, smooth_loss = 0.0, depth_loss = 0.05916312336921692, normal_l1 = 0.2704359292984009, normal_cos = 0.058512695133686066, psnr = 24.883169174194336
RICO_scannet_1_2024_04_24_22_01_38 [107] (44/465): loss = 0.055819664150476456, rgb_loss = 0.025952205061912537, eikonal_loss = 0.023986825719475746, bg_render_loss = 0.0, lop_loss = 2.991053588630166e-05, lrd_loss = 1.1462271686468739e-05, semantic_loss = 0.08217870444059372, smooth_loss = 0.0, depth_loss = 0.06050864979624748, normal_l1 = 0.3296549320220947, normal_cos = 0.056864410638809204, psnr = 25.403642654418945
RICO_scannet_1_2024_04_24_22_01_38 [107] (45/465): loss = 0.14440657198429108, rgb_loss = 0.08742129057645798, eikonal_loss = 0.06151532754302025, bg_render_loss = 0.0, lop_loss = 7.015879236860201e-05, lrd_loss = 0.0, semantic_loss = 0.00481775775551796, smooth_loss = 0.0, depth_loss = 0.23346315324306488, normal_l1 = 0.5113850831985474, normal_cos = 0.09588415175676346, psnr = 18.33708381652832
RICO_scannet_1_2024_04_24_22_01_38 [107] (46/465): loss = 0.11022061109542847, rgb_loss = 0.07070811092853546, eikonal_loss = 0.04587890952825546, bg_render_loss = 0.0, lop_loss = 4.5705110096605495e-06, lrd_loss = 0.0, semantic_loss = 0.0029835239984095097, smooth_loss = 0.0, depth_loss = 0.09051375836133957, normal_l1 = 0.49105700850486755, normal_cos = 0.06989066302776337, psnr = 19.63502311706543
RICO_scannet_1_2024_04_24_22_01_38 [107] (47/465): loss = 0.09782909601926804, rgb_loss = 0.0631907731294632, eikonal_loss = 0.02150418423116207, bg_render_loss = 0.0, lop_loss = 1.9118893760605715e-05, lrd_loss = 0.0, semantic_loss = 0.11187366396188736, smooth_loss = 0.0, depth_loss = 0.07955630868673325, normal_l1 = 0.37892743945121765, normal_cos = 0.04368501156568527, psnr = 19.384788513183594
RICO_scannet_1_2024_04_24_22_01_38 [107] (48/465): loss = 0.14461812376976013, rgb_loss = 0.0639793872833252, eikonal_loss = 0.032739393413066864, bg_render_loss = 0.0, lop_loss = 7.509870920330286e-05, lrd_loss = 4.7424400690943e-05, semantic_loss = 0.04438941180706024, smooth_loss = 0.0, depth_loss = 0.20721971988677979, normal_l1 = 0.9033293724060059, normal_cos = 0.22650974988937378, psnr = 18.398576736450195
RICO_scannet_1_2024_04_24_22_01_38 [107] (49/465): loss = 0.05352644994854927, rgb_loss = 0.027624767273664474, eikonal_loss = 0.03198369964957237, bg_render_loss = 0.0, lop_loss = 2.0418594431248493e-05, lrd_loss = 0.0, semantic_loss = 0.04467126727104187, smooth_loss = 0.0, depth_loss = 0.0773971676826477, normal_l1 = 0.2596198618412018, normal_cos = 0.035857927054166794, psnr = 25.796506881713867
RICO_scannet_1_2024_04_24_22_01_38 [107] (50/465): loss = 0.0731206163764, rgb_loss = 0.03493083268404007, eikonal_loss = 0.030375171452760696, bg_render_loss = 0.0, lop_loss = 6.33296585874632e-05, lrd_loss = 1.0761226803879254e-05, semantic_loss = 0.06593406200408936, smooth_loss = 0.0, depth_loss = 0.07014718651771545, normal_l1 = 0.4414459764957428, normal_cos = 0.09878474473953247, psnr = 23.2114315032959
